# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
3.3000,1236156,0.426575,-0.398621,-0.575378,0.572754,86.8245,0
3.3100,1236166,0.426575,-0.398621,-0.575256,0.572876,86.8427,0
3.3200,1236176,0.426575,-0.398621,-0.575134,0.573059,86.8651,0
3.3300,1236186,0.426636,-0.398621,-0.574951,0.573181,86.8857,0
3.3400,1236196,0.426697,-0.398682,-0.574829,0.573181,86.8947,0
3.3500,1236206,0.426819,-0.398743,-0.574829,0.573120,86.8907,0
3.3600,1236216,0.426819,-0.398865,-0.574829,0.572998,86.8763,0
3.3700,1236226,0.426819,-0.399048,-0.574829,0.572815,86.8549,0
3.3800,1236236,0.426880,-0.399231,-0.574890,0.572632,86.8351,0
3.3900,1236246,0.426880,-0.399353,-0.574890,0.572510,86.8252,0
3.4000,1236256,0.426941,-0.399414,-0.574829,0.572449,86.8259,0
3.4100,1236266,0.427002,-0.399414,-0.574829,0.572449,86.8254,0
3.4200,1236276,0.427002,-0.399414,-0.574829,0.572449,86.8225,0
3.4300,1236286,0.426941,-0.399475,-0.574890,0.572388,86.8180,0
3.4400,1236296,0.426880,-0.399475,-0.574829,0.572449,86.8197,0
3.4500,1236306,0.426819,-0.399475,-0.574890,0.572571,86.8278,0
3.4600,1236316,0.426636,-0.399475,-0.574890,0.572632,86.8379,0
3.4700,1236326,0.426575,-0.399414,-0.574890,0.572754,86.8475,0
3.4800,1236336,0.426514,-0.399353,-0.574829,0.572876,86.8482,0
3.4900,1236346,0.426453,-0.399292,-0.574890,0.572876,86.8359,0
3.5000,1236356,0.426392,-0.399353,-0.574951,0.572815,86.8152,0
3.5100,1236366,0.426208,-0.399597,-0.575073,0.572693,86.7996,0
3.5200,1236376,0.426147,-0.399597,-0.575073,0.572754,86.7949,0
3.5300,1236386,0.426086,-0.399536,-0.575073,0.572815,86.7982,0
3.5400,1236396,0.426086,-0.399475,-0.575073,0.572876,86.8066,0
